,prod_color,article_id
541,"WIDEAWAKE triangle, color:  Greyish Beige",256511039
542,"WIDEAWAKE tie tanga, color:  Greyish Beige",256513038
550,"Lizzie, color:  Light Orange",257667055
551,"Lizzie, color:  Dark Blue",257667061
567,"Kim superskinny low waist, color:  Dark Blue",262277009
568,"Kim superskinny low waist, color:  Black",262277011
569,"Kim superskinny low waist, color:  Greenish Khaki",262277026
570,"Kim superskinny low waist, color:  Dark Blue",262277029
573,"Billie, color:  Black",264984001
591,"Invisible 3p minishaftless, color:  Black",265630004
592,"Invisible 3p minishaftless, color:  Light Beige",265630006
593,"Shaper Shorts (1), color:  Black",266168001
594,"Shaper Shorts (1), color:  Beige",266168003
595,"Micro 2p minishaftless, color:  Black",266873001
596,"Micro 2p minishaftless, color:  Light Beige",266873006
597,"Micro 2p minishaftless, color:  Light Beige",266873009
598,"Sportsneaker 3p socks, color:  Black",266875001
599,"Sportsneaker 3p socks, color:  White",266875006
600,"Sportsneaker 3p socks, color:  Dark Blue",266875012
601,"Sportsneaker 3p socks, color:  Dark Blue",266875014
602,"Sportsneaker 3p socks, color:  Purple",266875015
603,"Sportsneaker 3p socks, color:  Purple",266875019
604,"Sportsneaker 3p socks, color:  Dark Blue",266875022
605,"Sportsneaker 3p socks, color:  Pink",266875024
606,"Kattis cat sunglasses, color:  Black",268305001
607,"Flirty Kattis Cat (1), color:  Yellowish Brown",268305006
608,"Kattis cat sunglasses, color:  Beige",268305007
609,"Kattis cat sunglasses, color:  Greenish Khaki",268305008
613,"Tina NT s/s, color:  Black",269342021
614,"Tina NT s/s, color:  Black",269342023
615,"Tina NT s/s, color:  Grey",269342025
616,"Tina NT s/s, color:  Grey",269342026
617,"Tina NT s/s, color:  White",269342027
618,"Sandra squared, color:  Black",270375001
619,"Sandra squared, color:  Beige",270375004
620,"Sandra squared, color:  Yellowish Brown",270375005
621,"Sandra squared, color:  Light Beige",270375006
622,"Clubba sunglasses, color:  Yellowish Brown",270381001
623,"Clubba sunglasses, color:  Black",270381003
624,"Classic Clubba, color:  Gold",270381004
625,"Clubba sunglasses, color:  Pink",270381007
626,"Classic Clubba, color:  Orange",270381011
627,"Clubba sunglasses, color:  Light Orange",270381013
628,"Burnie sunglasses, color:  Yellowish Brown",270382001
629,"Burnie sunglasses, color:  Light Orange",270382004
657,"Hilly Biker 2pk LT, color:  Black",278811002
658,"Hilly Biker 2pk HW LS, color:  Black",278811006
659,"Hilly Biker 2pk LT, color:  Light Beige",278811007
660,"Hilly Biker 2pk HW LS, color:  Yellowish Brown",278811009
661,"Hilly Biker 2pk LT, color:  Yellowish Brown",278811010
662,"Hilly Biker 2pk HW LS, color:  Beige",278811011
663,"Mirage Push, color:  Black",280256001
664,"Mirage Push, color:  White",280256006
684,"Hanny Padded bra E&F, color:  Black",283532005
694,"Layla Push, color:  Dark Red",286536007
762,"Flirty Chantal earring, color:  Black",292453003
763,"Flirty Chantal earring, color:  Dark Blue",292453009
764,"Flirty Chantal earring, color:  Beige",292453011
765,"Flirty Chantal earring, color:  Gold",292453013
766,"Flirty Chantal earring, color:  Light Orange",292453014
767,"Flirty Chantal earring, color:  Silver",292453015
768,"Flirty Chantal earring, color:  Beige",292453025
769,"Flirty Chantal earring, color:  Dark Green",292453028
770,"Flirty Chantal earring, color:  Dark Pink",292453031
771,"Flirty Chantal earring, color:  Light Yellow",292453034
814,"HM+ Cora tee, color:  Black",294008002
815,"HM+ Cora tee, color:  White",294008005
816,"Cora T-shirt, color:  Black",294008009
817,"Cora T-shirt, color:  Orange",294008036
818,"Cora T-shirt, color:  White",294008040
819,"Cora T-shirt, color:  Yellow",294008042
820,"Cora T-shirt, color:  Dark Pink",294008044
821,"HM+ Cora tee, color:  White",294008047
822,"Cora T-shirt, color:  White",294008050
823,"HM+ Cora tee, color:  Greenish Khaki",294008056
824,"Skinny Shaping, color:  Black",294076007
825,"Skinny Shaping, color:  Blue",294076018
831,"Flirty Fiffi flower headband, color:  Off White",296366006
832,"Flirty Fiffi flower headband, color:  Orange",296366013
833,"Flirty Fiffi flower headband, color:  Light Pink",296366024
834,"Flirty Fiffi flower headband, color:  Red",296366031
835,"Flirty Fiffi flower headband, color:  Dark Pink",296366032
836,"Flirty Fiffi flower headband, color:  Light Orange",296366034
837,"Flirty Fiffi 2p flower, color:  White",296375018
851,"Small dot 1p Tights, color:  Black",297067002
852,"Small dot 1p Tights, color:  Dark Red",297067003
853,"Heavy Chain 1p Tights, color:  Black",297078001
854,"Heavy Chain 1p Tights, color:  Black",297078002
855,"Heavy Chain 1p Tights, color:  Beige",297078005
856,"Heavy Chain 1p Tights, color:  Beige",297078008
857,"Thigh High 1p Overknee, color:  Black",297791001
858,"Thigh High 1p Overknee, color:  Black",297791002
859,"Spearmint shorts, color:  Black",297796002
860,"Skinny high waist black, color:  Blue",297898002
861,"Sanne treggings (1), color:  Blue",299668015
862,"Sanne treggings (1), color:  Dark Grey",299668017
863,"Sanne treggings (1), color:  Dark Blue",299668018
864,"Hilton, color:  Black",299733001
865,"Hilton, color:  Dark Blue",299733007
866,"Hilton, color:  Other",299733008
871,"Super skinny denim, color:  Dark Grey",300024006
872,"Superskinny, color:  Dark Blue",300024009
873,"Superskinny, color:  Blue",300024013
874,"Superskinny, color:  Dark Blue",300024016
875,"Super skinny denim, color:  Light Blue",300024017
876,"Super skinny denim, color:  White",300024037
877,"Superskinny, color:  Dark Blue",300024042
878,"Super skinny denim, color:  White",300024045
879,"Superskinny, color:  Blue",300024047
880,"Superskinny, color:  Dark Blue",300024048
881,"Super skinny denim, color:  Light Blue",300024056
882,"Superskinny, color:  Dark Grey",300024058
883,"Superskinny, color:  Blue",300024063
884,"Superskinny, color:  Dark Blue",300024064
893,"Tilda clean padded bra (1), color:  Black",301213001
894,"Tilda clean padded bra (1), color:  Light Beige",301213007
895,"Tilda clean padded bra (1), color:  Light Pink",301213011
896,"Tilda clean padded bra (1), color:  Black",301213013
897,"Tilda clean padded bra (1), color:  Light Beige",301213014
903,"Cool Kajsa Headband, color:  Red",301517004
904,"Cool Kajsa Headband, color:  Greenish Khaki",301517018
905,"Cool Kajsa Headband, color:  Dark Blue",301517036
908,"Lou Shirt Dress, color:  Blue",301656018
928,"Mohair 2p Kneehigh, color:  Grey",304692003
929,"Mohair 2p Heavy Socks, color:  Light Orange",304766005
930,"Mohair 2p Heavy Socks, color:  Dark Grey",304766007
931,"Mohair 2p Heavy Socks, color:  Light Orange",304766008
932,"Mohair 2p Heavy Socks, color:  Dark Grey",304766009
933,"Cosy 1p Lounge sock, color:  Dark Red",304778007
934,"Cosy 1p Lounge sock, color:  Red",304778008
935,"Cosy 1p Lounge sock, color:  Grey",304778009
936,"Cosy 1p Lounge sock, color:  Dark Red",304778010
937,"Cosy 1p Lounge sock, color:  White",304778011
938,"Traditional 2p Heavy Socks, color:  Dark Grey",304786005
939,"Traditional 2p Heavy Socks, color:  Light Pink",304786006
940,"Traditional 2p Heavy Socks, color:  Off White",304786007
941,"Traditional 2p Heavy Socks, color:  Dark Grey",304786008
958,"Fake 1p Leggings, color:  Black",305931001
972,"Hilly Brief 2pk LT, color:  Black",307239001
973,"Hilly Brief 2pk LT, color:  Light Beige",307239004
974,"Hilly Brief 2pk HW LS, color:  Black",307239005
975,"Hilly Brief 2pk HW LS, color:  Beige",307239010
1038,"Cobra Tube., color:  Dark Red",312829006
1039,"Cobra Tube., color:  Black",312829007
1040,"Cobra Tube., color:  Black",312829010
1041,"Cobra Tube., color:  Light Pink",312829011
1072,"Lee (1), color:  Black",316441001
1073,"Lee (1), color:  White",316441005
1074,"Lee, color:  Red",316441006
1075,"Lee, color:  Dark Green",316441008
1076,"Lee (1), color:  Dark Grey",316441011
1077,"Lee, color:  Light Blue",316441012
1078,"Lee, color:  Black",316441015
1079,"Lee, color:  Red",316441016
1080,"Lee (1), color:  Blue",316441023
1081,"Lee (1), color:  Black",316441024
1082,"Lee (1), color:  Dark Red",316441025
1083,"Lee (1), color:  Grey",316441033
1084,"Lee (1), color:  Beige",316441034
1085,"Lee (1), color:  Off White",316441036
1086,"Lee (1), color:  Blue",316441038
1087,"Lee (1), color:  Greenish Khaki",316441039
1088,"Klein, color:  Black",316471003
1089,"Klein, color:  Light Orange",316471020
1104,"Classic Clear umbrella, color:  Transparent",318035003
1105,"Classic Clear umbrella, color:  Dark Blue",318035009
1106,"Classic Clear umbrella, color:  Light Pink",318035015
1107,"Classic Clear umbrella, color:  Black",318035017
1108,"Classic Clear umbrella, color:  White",318035018
1109,"Classic Clear umbrella, color:  Transparent",318035022
1110,"Classic Clear umbrella, color:  Light Pink",318035023
1111,"Classic Clear umbrella, color:  Transparent",318035025
1112,"Classic Clear umbrella, color:  Dark Green",318035026
1152,"Xmas Bauble 1p Socks, color:  White",321249006
1153,"Xmas Bauble 1p Socks, color:  Dark Red",321249007
1154,"Xmas Bauble 1p Socks, color:  Red",321249009
1155,"Xmas Bauble 1p Socks, color:  Grey",321249010
1158,"Mini Umbrella, color:  Black",322017003
1159,"Mini Umbrella, color:  Light Orange",322017015
1160,"Mini Umbrella, color:  Light Orange",322017029
1161,"Mini Umbrella, color:  Yellowish Brown",322017030
1162,"Mini Umbrella, color:  Black",322017038
1163,"Mini Umbrella, color:  Pink",322017039
1164,"Mini Umbrella, color:  Other Red",322017040
1165,"Mini Umbrella, color:  Black",322017043
1173,"Hawlin Headband, color:  Black",324502001
1174,"Hawlin Headband, color:  Light Grey",324502003
1175,"Hawlin Headband, color:  Light Pink",324502008
1176,"Hawlin Headband, color:  Beige",324502017
1177,"Hawlin Headband, color:  Dark Red",324502018
1178,"Hawlin Headband, color:  Dark Grey",324502019
1179,"Control Top 200 den 1p Tights, color:  Black",324946001
1180,"Classic PU sunglasscase, color:  Light Beige",324963007
1181,"Classic PU sunglasscase, color:  Black",324963025
1182,"Classic PU sunglasscase, color:  Green",324963026
1183,"Classic PU sunglasscase, color:  Pink",324963028
1184,"Classic PU sunglasscase, color:  Light Beige",324963029
1185,"Classic PU sunglasscase, color:  Light Pink",324963030
1186,"Classic PU sunglasscase, color:  Beige",324963035
1187,"Classic PU sunglasscase, color:  Black",324963036
1188,"Classic PU sunglasscase, color:  Yellowish Brown",324963040
1189,"Classic PU sunglasscase, color:  Light Beige",324963051
1190,"Classic PU sunglasscase, color:  Light Orange",324963052
1191,"Classic PU sunglasscase, color:  Black",324963055
1192,"Irina Softbra 2pk, color:  Black",325027011
1193,"Irina Softbra 2pk, color:  Pink",325027016
1194,"Kelly (Melbourne) PUSH 2p, color:  White",325087002
1195,"Kelly (Melbourne) PUSH 2p, color:  Beige",325087018
1196,"Kelly (Melbourne) PUSH 2p, color:  Dark Grey",325087036
1197,"Kelly (Melbourne) PUSH 2p, color:  Red",325087041
1198,"Kelly (Melbourne) PUSH 2p, color:  Light Pink",325087043
1199,"Kelly (Melbourne) PUSH 2p, color:  Dark Red",325087044
1200,"Kelly (Melbourne) PUSH 2p, color:  Dark Red",325087045
1201,"Nina Nightshirt (W), color:  White",325542015
1202,"Nina Nightshirt (W), color:  Red",325542018
1203,"Nina Nightshirt (W), color:  Light Blue",325542020
1247,"ANDERS SP, color:  White",329052020
1270,"Flirty Emma takeyaway mug, color:  White",332055004
1281,"XMAS Fido dog sweater, color:  Dark Green",333353009
1282,"Classic Fido dog sweater, color:  Green",333353010
1284,"HM+ Hilly Biker 2pk, color:  Black",335037001
1285,"HM+ Hilly Biker 2pk, color:  Black",335037004
1286,"HM+ Hilly Biker 2pk, color:  Yellowish Brown",335037005
1288,"XMAS Deer aliceband, color:  Red",335991001
1291,"Cypress leather pants, color:  Black",336881001
1311,"Hilly Thong 2pk, color:  Black",338400001
1312,"Hilly Thong 2pk, color:  Light Beige",338400003
1313,"Hilly Thong 2pk, color:  Black",338400004
1314,"Hilly Thong 2pk, color:  Light Beige",338400005
1318,"Flirty Jingle headband, color:  Dark Green",340223001
1320,"Mama Support 70 den 1p Tights, color:  Black",341129001
1321,"Bare legs Support, color:  Beige",341186001
1332,"Venice molly padded softbra, color:  Black",341452001
1348,"Indiana Solid Scarf, color:  Black",342034003
1349,"Indiana Solid Scarf, color:  Light Pink",342034014
1350,"Indiana Solid Scarf, color:  Light Grey",342034016
1351,"Indiana Solid Scarf, color:  Dark Pink",342034017
1352,"Indiana Solid Scarf, color:  White",342034019
1353,"Indiana Solid Scarf, color:  Light Blue",342034027
1354,"Heavy plain Overknee 1p Tights, color:  Black",342060001
1361,"Flirty Christmas Calendar, color:  White",342840001
1366,"Gwen, color:  Grey",344534010
1369,"Seamless Push-up Biker, color:  Black",344905001
1370,"Flirty Romi waterbottle, color:  Light Pink",344956009
1371,"Flirty Romi waterbottle, color:  White",344956011
1372,"Flirty Romi waterbottle, color:  Light Pink",344956021
1373,"Flirty Romi waterbottle, color:  Dark Green",344956023
1374,"Flirty Romi waterbottle, color:  Gold",344956026
1387,"Pattern 5p Socks, color:  Dark Blue",346539014
1388,"Pattern 5p Socks, color:  Dark Grey",346539015
1389,"Pattern 5p Socks, color:  Black",346539017
1390,"Pattern 5p Socks, color:  Light Pink",346539021
1414,"Gilberto top, color:  White",348442015
1424,"Block 1p Overknee, color:  Black",349080001
1425,"GLASSIG ESPADRILLE, color:  Black",349301001
1430,"GLASSIG ESPADRILLE, color:  Red",349301022
1432,"GLASSIG ESPADRILLE, color:  Pink",349301024
1433,"GLASSIG ESPADRILLE, color:  White",349301025
1434,"GLASSIG ESPADRILLE, color:  Dark Blue",349301028
1435,"GLASSIG ESPADRILLE, color:  Light Pink",349301029
1436,"GLASSIG ESPADRILLE, color:  Yellow",349301030
1437,"GLASSIG ESPADRILLE, color:  Red",349301032
1438,"GLASSIG ESPADRILLE, color:  Beige",349301040
1439,"GLASSIG ESPADRILLE, color:  Off White",349301041
1440,"GLASSIG ESPADRILLE, color:  Black",349301045
1441,"GLASSIG ESPADRILLE, color:  Black",349301046
1442,"GLASSIG ESPADRILLE, color:  White",349301047
1443,"GLASSIG ESPADRILLE, color:  Dark Orange",349301048
1448,"Hayes, color:  Black",350082029
1449,"Hayes, color:  Dark Grey",350082031
1450,"Hayes, color:  Light Grey",350082034
1468,"LAZER RAZER bandeau, color:  Red",351462009
1469,"Lazer Razer Brief, color:  Black",351484002
1470,"LAZER RAZER brief, color:  Red",351484009
1471,"LAZER RAZER brief (1), color:  Other Red",351484012
1472,"LAZER RAZER brief (1), color:  White",351484013
1473,"LAZER RAZER brief (1), color:  Other Red",351484014
1474,"Lazer Razer Brief, color:  Light Blue",351484026
1475,"Lazer Razer Brief, color:  Red",351484027
1476,"Lazer Razer Brief, color:  Yellow",351484028
1477,"Lazer Razer Brief, color:  White",351484033
1478,"Lazer Razer Brief, color:  White",351484034
1479,"Lazer Razer Brief, color:  Dark Orange",351484037
1480,"Lazer Razer Brief, color:  Light Blue",351484039
1481,"Lazer Razer Brief, color:  Light Yellow",351484041
1482,"Lazer Razer Brief, color:  Red",351484042
1487,"Kelly Lace Padded Idro 2p, color:  White",351933001
1488,"Kelly Lace Padded Idro 2p, color:  Light Beige",351933029
1489,"Kelly Lace Padded Idro 2p, color:  Greenish Khaki",351933038
1490,"Kelly Lace Padded Idro 2p, color:  Dark Turquoise",351933041
1491,"Kelly Lace Padded Idro 2p, color:  Dark Purple",351933046
